"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2018,0,1,"westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",7846.2069742604,4799739.83190537,56,6527
2018,0,1,"westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",10387.212690192,3937220.51568666,123,11598
2018,0,1,"westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",10764.1592845575,3141220.35174704,124,6527
2018,0,1,"westside","westside",NA,"C","Oregon","Oregon","Non-forest","Forest",470.084236617797,81436.2326475824,6,11339
2018,0,1,"westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",1176.98884033636,192776.882326387,16,6308
2018,0,1,"westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",5040.97099694369,1233227.84007452,92,11598
2018,0,1,"westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",4702.99479484933,801354.490061195,71,6527
2018,1,0,"eastside","eastside","A",NA,"Oregon","Oregon","Forest","Non-forest",26050.7280978383,14945113.1442353,121,11598
2018,1,0,"eastside","eastside","A",NA,"Washington","Washington","Forest","Non-forest",2839.03191660395,840779.736588262,27,6527
2018,1,0,"eastside","eastside","B",NA,"Oregon","Oregon","Forest","Non-forest",58464.2436351464,33187370.1046051,301,11598
2018,1,0,"eastside","eastside","B",NA,"Washington","Washington","Forest","Non-forest",14022.6951582888,4538395.83687536,150,6527
2018,1,0,"eastside","eastside","C",NA,"Oregon","Oregon","Forest","Non-forest",3565.69892917894,1533278.65527276,27,11598
2018,1,0,"eastside","eastside","C",NA,"Washington","Washington","Forest","Non-forest",1674.96090042151,346007.281649045,19,6527
2018,1,0,"eastside","eastside","D",NA,"Oregon","Oregon","Forest","Non-forest",31.8788989221608,419.76198618829,2,11339
2018,1,0,"eastside","eastside","D",NA,"Washington","Washington","Forest","Non-forest",80.3286934401571,8530.76233647456,1,219
2018,1,0,"eastside","eastside","E",NA,"Oregon","Oregon","Forest","Non-forest",8893.46233721738,3217310.83231175,134,11598
2018,1,0,"eastside","eastside","E",NA,"Washington","Washington","Forest","Non-forest",4240.19426959393,1551965.09854698,36,6527
2018,1,0,"westside","westside","A",NA,"Oregon","Oregon","Forest","Non-forest",3501.11602033437,597409.020679339,43,11339
2018,1,0,"westside","westside","A",NA,"Washington","Washington","Forest","Non-forest",10343.6498593622,5301101.18259005,64,6527
2018,1,0,"westside","westside","B",NA,"Oregon","Oregon","Forest","Non-forest",8936.34994083832,2078081.38819307,115,11598
2018,1,0,"westside","westside","B",NA,"Washington","Washington","Forest","Non-forest",19185.050176671,10191666.1038916,108,6527
2018,1,0,"westside","westside","C",NA,"Oregon","Oregon","Forest","Non-forest",815.081054554841,193712.623312623,6,11339
2018,1,0,"westside","westside","C",NA,"Washington","Washington","Forest","Non-forest",1232.83357640555,429378.617690032,10,6308
2018,1,0,"westside","westside","D",NA,"Oregon","Oregon","Forest","Non-forest",7.11634998146562,55.6175011280861,1,5469
2018,1,0,"westside","westside","E",NA,"Oregon","Oregon","Forest","Non-forest",7749.37782242917,1821036.12101506,101,11598
2018,1,0,"westside","westside","E",NA,"Washington","Washington","Forest","Non-forest",11239.3461855608,3502372.98808389,98,6527
2018,1,1,"eastside","eastside","A","B","Oregon","Oregon","Forest","Forest",99966.0253625155,53414937.7623388,352,11598
2018,1,1,"eastside","eastside","A","B","Washington","Washington","Forest","Forest",25773.3905457186,15275257.1584431,95,6308
2018,1,1,"eastside","eastside","A","C","Oregon","Oregon","Forest","Forest",1602.45821280801,256915.635021682,19,11598
2018,1,1,"eastside","eastside","A","C","Washington","Washington","Forest","Forest",4410.75195512803,3773171.34486626,12,6527
2018,1,1,"eastside","eastside","A","D","Oregon","Oregon","Forest","Forest",803.312821211678,622089.256911079,4,5728
2018,1,1,"eastside","eastside","A","D","Washington","Washington","Forest","Forest",586.767811231163,301802.497709339,2,4031
2018,1,1,"eastside","eastside","A","E","Oregon","Oregon","Forest","Forest",4640.93267186508,1640372.65524869,71,11598
2018,1,1,"eastside","eastside","A","E","Washington","Washington","Forest","Forest",615.930494300271,127722.271837058,7,6308
2018,1,1,"eastside","eastside","B","A","Oregon","Oregon","Forest","Forest",73984.0462692247,35991339.7673773,304,11598
2018,1,1,"eastside","eastside","B","A","Washington","Washington","Forest","Forest",43717.7060607775,29363386.9785709,152,6527
2018,1,1,"eastside","eastside","B","C","Oregon","Oregon","Forest","Forest",10038.9607621441,3795120.70099366,57,11598
2018,1,1,"eastside","eastside","B","C","Washington","Washington","Forest","Forest",14574.4107596933,9434038.45535883,49,6527
2018,1,1,"eastside","eastside","B","D","Oregon","Oregon","Forest","Forest",358.634217037948,67875.0962934191,4,11339
2018,1,1,"eastside","eastside","B","D","Washington","Washington","Forest","Forest",1526.66226531492,2789583.32424864,1,219
2018,1,1,"eastside","eastside","B","E","Oregon","Oregon","Forest","Forest",105384.84853524,43387712.7685842,379,11598
2018,1,1,"eastside","eastside","B","E","Washington","Washington","Forest","Forest",58329.0316806436,41056279.3804303,116,6527
2018,1,1,"eastside","eastside","C","A","Oregon","Oregon","Forest","Forest",11281.5396883732,5591180.14988881,46,11598
2018,1,1,"eastside","eastside","C","A","Washington","Washington","Forest","Forest",2813.01549274628,1034988.5246558,16,6527
2018,1,1,"eastside","eastside","C","B","Oregon","Oregon","Forest","Forest",19312.4159713048,8665107.60960016,84,11598
2018,1,1,"eastside","eastside","C","B","Washington","Washington","Forest","Forest",9523.45945612132,6510926.43117215,35,6527
2018,1,1,"eastside","eastside","C","D","Washington","Washington","Forest","Forest",919.138207573757,793145.570101186,4,6527
2018,1,1,"eastside","eastside","C","E","Oregon","Oregon","Forest","Forest",5154.75528658108,2736405.08138927,22,11598
2018,1,1,"eastside","eastside","C","E","Washington","Washington","Forest","Forest",6953.25450079747,5486611.12320661,22,6527
2018,1,1,"eastside","eastside","D","A","Oregon","Oregon","Forest","Forest",782.714725226303,413024.71050017,1,5870
2018,1,1,"eastside","eastside","D","B","Oregon","Oregon","Forest","Forest",686.338748760272,167461.677822497,3,5469
2018,1,1,"eastside","eastside","D","C","Oregon","Oregon","Forest","Forest",249.507298435204,35069.8532499956,2,5469
2018,1,1,"eastside","eastside","D","C","Washington","Washington","Forest","Forest",343.118761102548,92596.9022867832,2,2277
2018,1,1,"eastside","eastside","D","E","Oregon","Oregon","Forest","Forest",909.113318813107,206509.585244571,6,11339
2018,1,1,"eastside","eastside","D","E","Washington","Washington","Forest","Forest",9.70658823900854,104.292530350151,1,2277
2018,1,1,"eastside","eastside","E","A","Oregon","Oregon","Forest","Forest",16793.6984171693,8886833.47019094,99,11598
2018,1,1,"eastside","eastside","E","A","Washington","Washington","Forest","Forest",5410.48604903237,3638711.46543109,27,6527
2018,1,1,"eastside","eastside","E","B","Oregon","Oregon","Forest","Forest",56951.083365211,24175076.612408,232,11598
2018,1,1,"eastside","eastside","E","B","Washington","Washington","Forest","Forest",34492.5634230057,21856409.1047057,84,6527
2018,1,1,"eastside","eastside","E","C","Oregon","Oregon","Forest","Forest",7526.04684994971,3264293.6170452,36,11598
2018,1,1,"eastside","eastside","E","C","Washington","Washington","Forest","Forest",5322.89049856098,2933886.59510962,23,6527
2018,1,1,"eastside","eastside","E","D","Oregon","Oregon","Forest","Forest",1756.61961321458,1254111.94815495,8,5728
2018,1,1,"eastside","eastside","E","D","Washington","Washington","Forest","Forest",70.3829563583976,3519.69438643978,2,2277
2018,1,1,"westside","westside","A","B","Oregon","Oregon","Forest","Forest",72379.5377325923,45188726.2345592,164,11339
2018,1,1,"westside","westside","A","B","Washington","Washington","Forest","Forest",99072.7209685299,65235028.9867347,190,6527
2018,1,1,"westside","westside","A","C","Oregon","Oregon","Forest","Forest",1946.84350106323,742200.339638729,11,11339
2018,1,1,"westside","westside","A","C","Washington","Washington","Forest","Forest",2640.5741765623,660656.092552468,14,6308
2018,1,1,"westside","westside","A","D","Washington","Washington","Forest","Forest",401.492724763405,75803.5553636626,4,4031
2018,1,1,"westside","westside","A","E","Oregon","Oregon","Forest","Forest",1275.16356158724,370120.629863681,27,11339
2018,1,1,"westside","westside","A","E","Washington","Washington","Forest","Forest",566.82439023358,50126.7620719373,13,6308
2018,1,1,"westside","westside","B","A","Oregon","Oregon","Forest","Forest",33541.3530397209,21154869.9980473,91,11339
2018,1,1,"westside","westside","B","A","Washington","Washington","Forest","Forest",47744.7853736958,32638592.0919096,103,6308
2018,1,1,"westside","westside","B","C","Oregon","Oregon","Forest","Forest",5530.06788939407,2936051.51460087,22,11598
2018,1,1,"westside","westside","B","C","Washington","Washington","Forest","Forest",7846.23183817168,5505209.2511849,24,6527
2018,1,1,"westside","westside","B","D","Oregon","Oregon","Forest","Forest",44.1794643972575,2020.7733574868,1,5469
2018,1,1,"westside","westside","B","D","Washington","Washington","Forest","Forest",731.117482307232,178743.766980407,3,4031
2018,1,1,"westside","westside","B","E","Oregon","Oregon","Forest","Forest",76592.3207767417,46324191.8396468,176,11598
2018,1,1,"westside","westside","B","E","Washington","Washington","Forest","Forest",68664.9919096309,47054868.3883369,139,6527
2018,1,1,"westside","westside","C","A","Oregon","Oregon","Forest","Forest",3968.48834767489,2372751.24160888,14,11339
2018,1,1,"westside","westside","C","A","Washington","Washington","Forest","Forest",4906.25205394128,3133083.542399,15,6527
2018,1,1,"westside","westside","C","B","Oregon","Oregon","Forest","Forest",6401.52512805232,2924614.66185194,34,11598
2018,1,1,"westside","westside","C","B","Washington","Washington","Forest","Forest",6124.96519305309,2807672.28131612,26,6527
2018,1,1,"westside","westside","C","D","Oregon","Oregon","Forest","Forest",64.3495553345735,4389.98852325161,1,5469
2018,1,1,"westside","westside","C","D","Washington","Washington","Forest","Forest",89.2706496067231,6442.95251808493,1,2277
2018,1,1,"westside","westside","C","E","Oregon","Oregon","Forest","Forest",1204.57163499666,667422.007046414,8,11598
2018,1,1,"westside","westside","C","E","Washington","Washington","Forest","Forest",425.680446463554,44790.0880258543,6,6308
2018,1,1,"westside","westside","D","A","Washington","Washington","Forest","Forest",999.921702237407,883704.749507555,1,4031
2018,1,1,"westside","westside","D","B","Washington","Washington","Forest","Forest",1183.14032677485,824327.707720368,3,4031
2018,1,1,"westside","westside","D","C","Washington","Washington","Forest","Forest",259.589177888363,30309.3529735794,3,6308
2018,1,1,"westside","westside","D","E","Oregon","Oregon","Forest","Forest",113.029474662456,7028.30628671363,2,5469
2018,1,1,"westside","westside","D","E","Washington","Washington","Forest","Forest",285.654117890113,34415.1433937472,3,2277
2018,1,1,"westside","westside","E","A","Oregon","Oregon","Forest","Forest",37364.7685138465,25599675.8817888,93,11339
2018,1,1,"westside","westside","E","A","Washington","Washington","Forest","Forest",36731.1670117608,26448620.8221528,75,6527
2018,1,1,"westside","westside","E","B","Oregon","Oregon","Forest","Forest",29766.767490261,19095299.8619078,89,11598
2018,1,1,"westside","westside","E","B","Washington","Washington","Forest","Forest",23479.9537010104,14896380.8419741,59,6527
2018,1,1,"westside","westside","E","C","Oregon","Oregon","Forest","Forest",3785.9166685002,2872747.94381182,7,11598
2018,1,1,"westside","westside","E","C","Washington","Washington","Forest","Forest",4999.77554745674,2651159.02460855,15,6308
2018,1,1,"westside","westside","E","D","Oregon","Oregon","Forest","Forest",509.000344470607,138325.087205334,2,11339
2018,1,1,"westside","westside","E","D","Washington","Washington","Forest","Forest",319.430620064308,60705.1175834808,2,4031
2019,0,1,"eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",12161.2322800839,5539371.63713373,116,13050
2019,0,1,"eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",6517.0086708173,2977838.80089903,42,7427
2019,0,1,"eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",37537.2109189909,16896212.1142218,364,13050
2019,0,1,"eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",11508.6526014762,3477858.56365568,142,7427
2019,0,1,"eastside","eastside",NA,"C","Oregon","Oregon","Non-forest","Forest",3270.45135785744,1630211.28689777,30,13050
2019,0,1,"eastside","eastside",NA,"C","Washington","Washington","Non-forest","Forest",1352.59188720543,607635.370136057,14,2862
2019,0,1,"eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",6901.74567066888,1128501.39108607,177,13050
2019,0,1,"eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",1260.0409053018,96860.6262596019,32,7427
2019,0,1,"westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",4889.26575543835,1509145.77229781,51,13050
2019,0,1,"westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",7143.05206171287,4035093.04657183,58,7427
2019,0,1,"westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",10248.5631088583,3289466.48479928,136,13050
2019,0,1,"westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",10911.3383054256,2766719.23664519,138,7427
2019,0,1,"westside","westside",NA,"C","Oregon","Oregon","Non-forest","Forest",414.87319592055,64099.0036662085,6,12761
2019,0,1,"westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",1077.72675446016,154687.857815567,16,7186
2019,0,1,"westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",4975.0665680016,1062001.10295384,98,13050
2019,0,1,"westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",4554.0863365956,654736.563419903,81,7427
2019,1,0,"eastside","eastside","A",NA,"Oregon","Oregon","Forest","Non-forest",24528.2275813753,12229563.4385815,132,13050
2019,1,0,"eastside","eastside","A",NA,"Washington","Washington","Forest","Non-forest",3293.36398293138,980457.177416789,30,7427
2019,1,0,"eastside","eastside","B",NA,"Oregon","Oregon","Forest","Non-forest",57402.2323259618,28603762.2698854,333,13050
2019,1,0,"eastside","eastside","B",NA,"Washington","Washington","Forest","Non-forest",13923.7439254433,4194731.18368838,163,7427
2019,1,0,"eastside","eastside","C",NA,"Oregon","Oregon","Forest","Non-forest",3370.0156751799,1243723.54612236,30,13050
2019,1,0,"eastside","eastside","C",NA,"Washington","Washington","Forest","Non-forest",1656.32863574204,293081.136392269,21,7427
2019,1,0,"eastside","eastside","D",NA,"Oregon","Oregon","Forest","Non-forest",29.7417869177794,350.115396764421,2,12761
2019,1,0,"eastside","eastside","D",NA,"Washington","Washington","Forest","Non-forest",68.8658477398312,6593.90920901973,1,241
2019,1,0,"eastside","eastside","E",NA,"Oregon","Oregon","Forest","Non-forest",9003.83740368474,2785056.75392913,152,13050
2019,1,0,"eastside","eastside","E",NA,"Washington","Washington","Forest","Non-forest",3960.66131820817,1245415.70742919,39,7427
