"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","BPS_LLID1","BPS_LLID2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"Na0710412_fmc","Na0710412_fmc","Na0710412_fmc_WWC","Na0710412_fmc_WWC","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",148.337127783742,9829.26862840036,4,2140
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_OEC","Na0710412_fmh_OEC","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",205.695309338943,32629.7591776904,4,5011
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_OEC","Na0710412_fmh_OEC","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",270.842865431004,18011.9158479068,6,9917
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_OEC","Na0710412_fmh_OEC","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",84.3048483907539,4077.39566311702,2,4789
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_OSW","Na0710412_fmh_OSW","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",12.9742840623094,181.707035660738,1,4789
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_WEC","Na0710412_fmh_WEC","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",40.7063715015514,1062.19702023735,3,5421
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_WEC","Na0710412_fmh_WEC","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",271.923833656323,27247.1040683376,6,5421
2017,0,1,"Na0710412_fmh","Na0710412_fmh","Na0710412_fmh_WEC","Na0710412_fmh_WEC","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",111.917261053905,8059.65055966233,2,1955
2017,0,1,"Na0710412_fmi","Na0710412_fmi","Na0710412_fmi_OSW","Na0710412_fmi_OSW","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",6.7795616871138,45.1556853671004,1,4789
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17010216","Na1010471_frn_17010216","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",32.5025155773721,959.783028609712,1,3466
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17010216","Na1010471_frn_17010216","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",1325.91871082024,1372910.71192662,4,5421
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17010216","Na1010471_frn_17010216","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",14.4373334173953,234.950732008909,1,1955
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17010305","Na1010471_frn_17010305","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",72.8287221280393,5108.35795622245,1,3466
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17020002","Na1010471_frn_17020002","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",31.5156682670829,1119.58190560311,1,1955
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17020003","Na1010471_frn_17020003","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",2.88392414069866,8.70746766449163,1,1955
2017,0,1,"Na1010471_frn","Na1010471_frn","Na1010471_frn_17020003","Na1010471_frn_17020003","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",29.0200455948747,968.166847926557,2,5421
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","R1RFWF_fcw_17100301","R1RFWF_fcw_17100301","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",5.5610842490397,34.1999250960189,2,9917
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","R1RFWF_fcw_17100301","R1RFWF_fcw_17100301","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",51.3090623115472,933.606066253672,4,4789
2017,0,1,"R1RFWF_fcw","R1RFWF_fcw","R1RFWF_fcw_17100301","R1RFWF_fcw_17100301","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",90.8628508270869,3193.33012891459,4,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17020011","RaABAMlw_fsi_17020011","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",53.4893608086112,1612.32222748064,2,2140
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17020011","RaABAMlw_fsi_17020011","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",15.5711426724038,135.948133773036,2,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17030001","RaABAMlw_fsi_17030001","eastside","eastside",NA,"A","Washington","Washington","Non-forest","Forest",196.290890869695,29250.6080158128,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17030001","RaABAMlw_fsi_17030001","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",262.137165655731,12746.7520805739,3,2140
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17030002","RaABAMlw_fsi_17030002","eastside","eastside",NA,"B","Washington","Washington","Non-forest","Forest",2.55625239828448,7.18940109385721,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17070105B","RaABAMlw_fsi_17070105B","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",10.3182149292605,111.980391442335,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17070105B","RaABAMlw_fsi_17070105B","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",9.90936692333275,103.282005114033,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17070105C","RaABAMlw_fsi_17070105C","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",1.01681377861991,1.14494703831036,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17070105C","RaABAMlw_fsi_17070105C","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",1.95356348018314,4.22627359866362,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17070301","RaABAMlw_fsi_17070301","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",128.04145921646,15756.9939613207,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080001B","RaABAMlw_fsi_17080001B","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",111.292443945664,6977.16973507702,2,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080002","RaABAMlw_fsi_17080002","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",7.12539416711604,54.6535668496539,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080002","RaABAMlw_fsi_17080002","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",274.734014200613,38206.293916181,6,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080002","RaABAMlw_fsi_17080002","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",117.475993504382,14855.9002894825,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080004","RaABAMlw_fsi_17080004","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",23.8961939609742,632.353639091239,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080004","RaABAMlw_fsi_17080004","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",383.174811057245,82872.6498339279,6,5421
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080004","RaABAMlw_fsi_17080004","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",107.444776972785,9539.87381841789,2,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080005","RaABAMlw_fsi_17080005","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",91.9108568017047,9121.76623080272,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17080005","RaABAMlw_fsi_17080005","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",100.916167239413,14384.1549196262,1,3466
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090001","RaABAMlw_fsi_17090001","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",8.25656476658977,47.2508164050558,3,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090001","RaABAMlw_fsi_17090001","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",292.281879332306,22421.2205956603,8,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090001","RaABAMlw_fsi_17090001","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",9.28166931721798,93.8573441323559,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090004","RaABAMlw_fsi_17090004","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",231.628896653466,40734.1080302212,5,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090004","RaABAMlw_fsi_17090004","westside","westside",NA,"C","Oregon","Oregon","Non-forest","Forest",0.174278617279341,0.0265164675846446,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090004","RaABAMlw_fsi_17090004","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",153.534356469955,7648.89769263386,4,5011
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090005","RaABAMlw_fsi_17090005","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",61.367898808438,2172.20770447652,3,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090006","RaABAMlw_fsi_17090006","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",104.844698976551,4369.74625378678,3,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090006","RaABAMlw_fsi_17090006","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",6.02607415126912,37.4818006397973,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090009","RaABAMlw_fsi_17090009","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",169.767774148861,32121.1566522742,1,5128
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090011","RaABAMlw_fsi_17090011","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",121.903869141566,15324.317737816,2,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090011","RaABAMlw_fsi_17090011","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",53.6934399043407,2332.10310636137,3,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17090011","RaABAMlw_fsi_17090011","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",185.375582987328,37010.989590701,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17100301","RaABAMlw_fsi_17100301","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",15.8495782552343,246.799699077242,1,4789
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17110013","RaABAMlw_fsi_17110013","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",261.355475458558,59011.9707823488,1,3466
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17110014","RaABAMlw_fsi_17110014","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",20.5938515367597,450.486206630048,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17110018","RaABAMlw_fsi_17110018","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",1.39387086346657,2.1999130117497,1,1955
2017,0,1,"RaABAMlw_fsi","RaABAMlw_fsi","RaABAMlw_fsi_17110020","RaABAMlw_fsi_17110020","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",321.24623858406,82218.2256264624,1,3466
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","RaABAMlw_fsw_17070105B","RaABAMlw_fsw_17070105B","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",19.2702689875002,399.945846892388,1,4789
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","RaABAMlw_fsw_17090001","RaABAMlw_fsw_17090001","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",328.470220854849,60138.6430013153,2,4789
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","RaABAMlw_fsw_17090002","RaABAMlw_fsw_17090002","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",31.6831666354147,825.74319865696,2,4789
2017,0,1,"RaABAMlw_fsw","RaABAMlw_fsw","RaABAMlw_fsw_17090011","RaABAMlw_fsw_17090011","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",64.1303997768861,3266.85355856302,2,4789
2017,0,1,"RaABAMlw_fwc","RaABAMlw_fwc","RaABAMlw_fwc_17080004","RaABAMlw_fwc_17080004","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",8.77650857055405,85.2994273023563,1,1955
2017,0,1,"RaABAMlw_fwc","RaABAMlw_fwc","RaABAMlw_fwc_17090011","RaABAMlw_fwc_17090011","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",18.3952129652159,333.560280030632,1,4789
2017,0,1,"RaABAMup_fsi","RaABAMup_fsi","RaABAMup_fsi_OCR","RaABAMup_fsi_OCR","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",2.67677378285852,10.0186928178614,1,5128
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WCR","RaABAMup_fst_WCR","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",33.7759728856761,1291.7431378254,1,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WCR","RaABAMup_fst_WCR","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",0.968385063935725,1.82260657316174,1,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WCR","RaABAMup_fst_WCR","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",70.355556814706,4501.39422967038,3,5421
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WNC","RaABAMup_fst_WNC","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",177.440962817852,15327.8347575886,3,5421
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WNC","RaABAMup_fst_WNC","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",275.68592791173,19825.7403426534,8,5606
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WNC","RaABAMup_fst_WNC","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",38.9014325216669,1548.28175966763,2,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WNC","RaABAMup_fst_WNC","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",689.026462941417,254175.206374639,7,2140
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WWC","RaABAMup_fst_WWC","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",27.2889511844313,675.43940508909,1,3466
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WWC","RaABAMup_fst_WWC","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",92.7583966323625,4894.60682330888,2,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","RaABAMup_fst_WWC","RaABAMup_fst_WWC","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",107.199672150901,12573.5331922884,1,1955
2017,0,1,"RaABLA_faf","RaABLA_faf","RaABLA_faf_WNC","RaABLA_faf_WNC","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",107.106404590138,7564.48620724262,1,3466
2017,0,1,"RaABLA_faf","RaABLA_faf","RaABLA_faf_WNC","RaABLA_faf_WNC","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",62.3343123834048,1465.31675764827,2,5421
2017,0,1,"RaABLA_faf","RaABLA_faf","RaABLA_faf_WNC","RaABLA_faf_WNC","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",96.0819573250083,8907.29662701678,2,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080001A","RaDFHEdy_fdg_17080001A","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",0.601386171396468,0.331426130748695,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080003A","RaDFHEdy_fdg_17080003A","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",4.12496673943963,15.0432528198657,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080003A","RaDFHEdy_fdg_17080003A","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",279.292676139388,76014.9291450635,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080003C","RaDFHEdy_fdg_17080003C","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",107.030175726101,12822.1455271038,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080003C","RaDFHEdy_fdg_17080003C","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",113.775029254445,14489.1242414845,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17080005","RaDFHEdy_fdg_17080005","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",48.0892783512736,2097.53504043951,1,3466
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17110005","RaDFHEdy_fdg_17110005","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",12.3656775961938,159.864605070984,1,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","RaDFHEdy_fdg_17110005","RaDFHEdy_fdg_17110005","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",90.8194560706023,9074.92492396336,1,1955
